Subject / Topic,Complexity (1-10),Relevance (1-10),Study Time (mins),Learning Method,Stress Level,Sleep Hours,Recall Score (1hr),Recall Score (1day),Recall Score (1week),Days Since Learning,Forgetfulness Probability (%)
Speech Recognition - Concepts,3,6,49,Practical,3,9.0,10.0,9.2,8.5,22,14.2
Astrophysics - Concepts,6,5,89,Practical,8,6.7,10.0,9.4,8.6,18,13.4
Quantum Computing - Lab,7,5,91,Practical,6,6.9,10.0,10.0,8.8,16,14.7
Sustainable Agriculture - Lab,5,7,80,Video,6,7.5,10.0,10.0,9.1,16,15.4
Evolutionary Biology - Workshop,8,7,117,Practical,10,6.2,10.0,10.0,9.0,17,8.0
Nanorobotics - Lab,8,8,107,Audio,10,6.9,10.0,9.8,8.8,25,15.9
Artificial Consciousness - Lab,5,6,80,Practical,5,8.0,10.0,10.0,8.8,25,9.2
3D Animation - Intro,5,6,81,Practical,8,6.7,10.0,10.0,9.3,9,7.4
3D Animation - Workshop,7,5,101,Text,7,7.9,10.0,10.0,8.8,21,10.2
Geospatial Analysis - Advanced,8,5,110,Video,5,8.0,10.0,10.0,9.4,11,8.0
Forensic Science - Concepts,4,7,59,Video,6,7.0,10.0,10.0,8.4,22,15.8
Metallurgy - Theory,4,8,70,Practical,2,8.6,10.0,10.0,9.2,19,2.9
Quantum Entanglement - Applications,5,8,76,Video,7,7.1,10.0,10.0,9.0,19,6.0
Marine Biology - Concepts,3,5,54,Text,2,9.0,10.0,10.0,9.4,19,9.4
Logic Circuits - Intro,3,5,60,Audio,2,8.8,10.0,9.7,8.9,29,7.3
Mythology - Concepts,6,8,90,Video,9,6.2,10.0,10.0,9.6,22,0.0
Fictional Languages - Workshop,4,8,61,Practical,3,8.5,10.0,10.0,9.2,10,11.0
Cellular Automata - Intro,3,7,58,Audio,5,8.3,10.0,9.3,8.4,30,19.8
Geospatial Analysis - Advanced,9,8,126,Text,10,6.5,10.0,9.1,7.7,16,18.4
Virtual Reality Ethics - Intro,5,6,73,Practical,4,8.8,10.0,10.0,8.6,28,9.7
Pharmacology - Theory,6,8,90,Video,7,7.8,10.0,9.9,8.7,19,14.1
Digital Marketing - Lab,4,9,63,Video,4,8.6,10.0,9.8,9.3,9,11.0
Metallurgy - Intro,6,8,98,Practical,5,8.3,10.0,10.0,9.0,16,7.5
Photosynthesis - Workshop,3,5,63,Audio,3,9.0,10.0,10.0,8.8,11,10.1
Marine Biology - Lab,5,5,75,Video,10,7.0,10.0,9.9,9.2,14,3.9
Fictional Languages - Applications,9,9,121,Text,10,6.0,10.0,9.5,8.8,7,19.1
Digital Marketing - Advanced,5,6,73,Practical,4,7.8,10.0,10.0,9.0,25,9.7
Agile Methodologies - Theory,5,8,70,Text,6,8.0,10.0,9.6,8.2,14,18.7
Evolutionary Biology - Concepts,3,8,59,Text,4,7.9,10.0,10.0,8.8,29,10.5
Immunology - Lab,9,9,116,Practical,6,7.1,10.0,9.9,9.3,7,5.4
Cultural Studies - Applications,9,7,120,Video,6,8.1,10.0,9.3,8.2,18,21.6
Cellular Automata - Intro,7,7,91,Text,5,7.8,10.0,9.9,8.7,10,12.9
Financial Markets - Applications,8,6,107,Video,2,9.0,10.0,10.0,9.1,27,13.1
Relativity Theory - Workshop,8,8,117,Practical,7,7.7,10.0,10.0,9.2,27,12.1
Visual Perception - Lab,5,8,87,Video,7,7.4,10.0,10.0,9.1,11,6.4
Digital Marketing - Applications,8,8,118,Video,10,6.9,10.0,9.9,8.5,26,10.7
Political Philosophy - Theory,7,5,111,Practical,7,7.7,10.0,9.5,8.5,7,11.1
Creative Writing - Intro,5,7,77,Video,4,8.7,10.0,10.0,8.7,29,0.0
Climate Modeling - Theory,7,9,86,Video,5,7.3,10.0,10.0,9.0,21,17.4
Lunar Architecture - Theory,4,5,75,Text,4,8.2,10.0,10.0,8.8,7,11.6
Pharmacology - Lab,8,5,104,Audio,6,7.0,10.0,10.0,8.3,9,23.7
UX Design - Concepts,9,7,130,Video,7,7.2,10.0,10.0,9.6,22,11.6
Urban Planning - Workshop,4,8,70,Text,8,6.6,10.0,9.4,8.5,17,18.3
Blockchain Security - Theory,5,6,88,Video,6,7.2,10.0,9.4,8.2,21,16.3
Political Philosophy - Advanced,9,9,119,Text,9,6.8,10.0,10.0,9.4,27,7.0
Marine Biology - Theory,6,7,86,Practical,7,8.2,10.0,10.0,8.8,14,11.6
Cellular Automata - Concepts,6,6,93,Video,4,8.5,10.0,10.0,8.7,17,16.6
Political Philosophy - Intro,3,7,62,Audio,1,9.0,10.0,10.0,9.5,13,12.5
Climate Modeling - Workshop,4,7,64,Audio,5,7.3,10.0,9.9,8.5,13,19.4
Ethical Hacking - Lab,4,7,69,Audio,4,9.0,10.0,10.0,9.3,27,13.8
Sustainable Agriculture - Applications,6,7,87,Video,7,7.5,10.0,8.8,7.3,29,24.5
Climate Modeling - Workshop,5,8,81,Text,5,8.6,10.0,10.0,9.0,16,10.1
Climate Modeling - Theory,9,5,119,Practical,9,6.6,10.0,9.8,8.6,25,14.2
Internet of Things - Concepts,9,7,120,Text,9,7.1,10.0,9.7,9.1,26,15.9
Climate Modeling - Theory,9,6,120,Practical,10,5.8,10.0,10.0,9.3,10,6.9
Photosynthesis - Lab,3,6,58,Text,7,7.6,10.0,9.5,8.9,20,10.9
Alien Anthropology - Intro,4,6,71,Video,6,8.1,10.0,9.2,8.3,8,14.1
AI Narratives - Theory,3,5,56,Video,1,9.0,10.0,10.0,9.1,27,10.1
Blockchain Security - Intro,4,5,78,Video,3,9.0,10.0,9.9,8.5,15,16.5
UX Design - Theory,7,6,99,Practical,5,8.4,10.0,10.0,9.2,8,9.9
Cellular Automata - Workshop,9,8,124,Practical,8,6.5,10.0,10.0,9.1,23,12.5
Ancient Civilizations - Applications,7,5,97,Practical,6,7.5,10.0,10.0,8.9,16,9.2
Digital Humanities - Concepts,3,5,57,Audio,3,8.4,10.0,10.0,8.8,30,17.3
Internet of Things - Concepts,9,8,124,Text,9,7.4,10.0,9.7,8.8,11,5.5
Compiler Design - Applications,9,7,123,Video,6,7.7,10.0,9.7,8.3,10,26.0
Climate Modeling - Concepts,6,5,89,Practical,1,9.0,10.0,10.0,9.1,25,0.0
Compiler Design - Intro,6,6,81,Text,6,8.7,10.0,10.0,9.2,29,0.0
Metallurgy - Advanced,4,6,67,Practical,4,8.2,10.0,9.5,8.3,13,19.1
Mathematical Music Theory - Concepts,8,8,109,Audio,8,6.6,9.8,10.0,9.7,15,0.0
Geospatial Analysis - Workshop,7,6,96,Audio,8,7.4,9.1,8.9,7.7,26,22.7
Pharmacology - Theory,7,9,93,Audio,7,6.9,8.7,9.3,8.2,9,18.6
Psychoacoustics - Workshop,3,6,64,Practical,2,8.5,10.0,10.0,8.9,12,19.9
Extraterrestrial Agriculture - Applications,9,8,119,Text,7,7.4,10.0,10.0,9.0,28,15.4
Relativity Theory - Concepts,8,8,119,Video,10,7.6,10.0,10.0,8.6,11,7.7
Mathematical Music Theory - Intro,3,8,59,Video,6,7.5,10.0,10.0,8.8,19,0.0
Synthetic Biology - Lab,6,9,90,Video,9,7.1,10.0,9.8,8.6,19,15.5
Epidemiology - Concepts,6,5,87,Practical,4,8.2,10.0,10.0,8.5,8,18.1
Quantum Entanglement - Workshop,8,7,117,Text,8,7.2,10.0,9.7,8.7,24,13.2
3D Animation - Lab,8,6,108,Practical,8,7.8,10.0,10.0,8.6,11,12.6
Logic Circuits - Workshop,6,5,88,Video,2,9.0,10.0,9.7,8.9,20,9.2
Agile Methodologies - Intro,5,8,75,Video,7,7.4,10.0,10.0,8.7,25,7.5
Holographic Computing - Intro,9,5,121,Video,7,7.3,10.0,10.0,8.9,25,2.4
Astrophysics - Concepts,7,5,98,Audio,3,9.0,10.0,9.9,9.0,19,5.0
Geospatial Analysis - Concepts,7,9,95,Audio,5,8.9,10.0,10.0,8.7,16,9.3
Ethical Hacking - Intro,3,8,59,Text,9,6.8,10.0,9.1,8.4,30,32.7
Digital Marketing - Theory,7,8,103,Audio,7,7.8,10.0,10.0,9.3,23,7.9
Game Development - Intro,3,6,68,Video,7,8.0,10.0,10.0,9.1,27,7.4
Cellular Automata - Concepts,8,6,111,Audio,8,6.7,10.0,9.2,8.2,27,19.0
Photosynthesis - Lab,8,6,107,Audio,7,7.3,10.0,10.0,9.0,20,14.0
Educational Psychology - Intro,5,6,82,Audio,3,9.0,10.0,10.0,8.7,7,13.1
Financial Markets - Advanced,9,5,119,Text,8,7.2,10.0,9.9,9.0,7,10.6
AI Narratives - Concepts,8,5,110,Text,6,7.4,10.0,10.0,8.6,9,19.8
Biomechanics - Applications,9,6,119,Practical,7,7.1,10.0,9.5,8.4,28,27.7
Synthetic Biology - Concepts,6,6,92,Video,6,8.1,10.0,9.2,8.2,13,15.7
Antimatter - Workshop,5,6,82,Practical,6,7.2,10.0,10.0,9.3,16,0.0
Behavioral Economics - Applications,6,7,89,Text,7,7.2,10.0,10.0,9.5,8,0.0
Neural Networks - Workshop,6,6,107,Practical,4,7.9,10.0,10.0,9.0,11,6.2
Cultural Studies - Applications,3,7,64,Text,6,8.0,10.0,10.0,9.6,21,3.8
Blockchain Security - Advanced,9,6,109,Video,8,7.7,10.0,9.7,8.2,7,16.1
3D Animation - Applications,6,8,88,Practical,7,6.2,10.0,9.8,8.5,30,23.8
Antimatter - Applications,9,9,119,Text,10,6.0,10.0,10.0,9.1,25,7.7
Psychoacoustics - Advanced,5,5,83,Video,7,7.2,10.0,10.0,9.3,29,8.4
Lunar Architecture - Applications,4,8,79,Video,7,7.8,10.0,9.4,8.8,7,4.3
Zero-Gravity Engineering - Theory,8,9,106,Practical,6,7.0,10.0,10.0,9.2,20,3.9
Molecular Biology - Workshop,3,7,65,Video,3,9.0,10.0,10.0,9.1,12,0.0
Synthetic Biology - Advanced,9,5,121,Practical,6,8.4,10.0,9.2,8.7,19,17.4
Evolutionary Biology - Workshop,8,7,111,Audio,6,7.7,10.0,10.0,9.2,17,16.1
Metallurgy - Applications,6,7,95,Video,3,8.8,10.0,10.0,9.1,15,5.5
Marine Biology - Advanced,6,5,81,Video,7,7.4,10.0,10.0,8.7,27,16.1
Phonetics - Lab,7,9,102,Text,6,6.9,10.0,9.8,8.7,13,21.6
Visual Perception - Workshop,9,5,128,Audio,9,6.6,10.0,9.4,8.6,13,20.6
Speech Recognition - Theory,3,6,54,Video,1,9.0,10.0,10.0,9.2,30,9.5
Lunar Architecture - Intro,3,7,60,Text,6,8.1,10.0,10.0,9.3,17,9.4
Pharmacology - Intro,5,6,83,Audio,7,7.7,10.0,10.0,8.7,11,11.3
Financial Markets - Applications,4,5,60,Video,4,8.2,10.0,10.0,9.0,17,3.5
Cognitive Robotics - Applications,5,5,81,Text,4,8.6,10.0,10.0,9.0,18,17.6
Compiler Design - Concepts,5,9,78,Practical,6,7.7,10.0,10.0,9.2,26,11.0
AI Narratives - Concepts,5,7,87,Practical,6,6.8,10.0,9.8,9.1,7,10.0
Compiler Design - Theory,4,8,66,Text,6,7.3,10.0,9.6,8.4,14,2.1
Mathematical Music Theory - Theory,5,5,79,Practical,4,8.0,10.0,10.0,8.7,28,4.7
Ancient Civilizations - Concepts,8,8,105,Practical,7,6.8,10.0,10.0,9.2,7,10.6
Sustainable Agriculture - Concepts,3,7,59,Text,5,8.0,10.0,10.0,9.5,11,0.0
Forensic Science - Intro,4,6,66,Text,5,8.4,10.0,10.0,8.9,16,10.8
Behavioral Neuroscience - Lab,6,7,88,Audio,4,9.0,10.0,10.0,9.4,8,4.4
Forensic Science - Workshop,7,9,94,Practical,6,7.4,10.0,9.9,8.6,28,8.2
Nanorobotics - Applications,7,8,96,Practical,7,7.1,10.0,9.6,8.9,7,8.5
Interstellar Politics - Advanced,9,8,116,Video,5,8.5,10.0,8.9,7.6,10,33.8
Interstellar Politics - Lab,8,6,107,Text,6,7.4,10.0,10.0,9.1,9,9.6
Ethical Hacking - Concepts,3,6,59,Video,4,8.9,10.0,9.7,8.4,28,15.2
3D Animation - Lab,7,5,85,Text,5,8.0,10.0,10.0,9.4,13,12.7
Molecular Biology - Applications,8,7,110,Text,8,6.9,10.0,10.0,9.5,11,1.3
Agile Methodologies - Intro,8,9,116,Audio,8,7.0,10.0,9.4,8.4,14,12.7
Compiler Design - Theory,7,5,103,Video,7,8.3,10.0,10.0,8.6,9,4.7
Mathematical Music Theory - Theory,7,7,95,Video,7,7.4,10.0,9.5,8.4,25,22.6
Interstellar Politics - Intro,8,6,115,Practical,10,5.9,10.0,9.2,8.2,8,19.2
Political Philosophy - Concepts,8,9,105,Text,8,8.0,10.0,9.1,8.0,15,10.1
Marine Biology - Theory,6,6,91,Video,7,7.8,10.0,9.7,9.2,26,0.4
Epidemiology - Applications,7,6,87,Video,6,7.8,10.0,10.0,8.9,24,12.6
Ethical Hacking - Workshop,5,8,83,Video,6,6.2,10.0,9.6,8.6,13,21.4
Geospatial Analysis - Concepts,8,7,110,Audio,5,7.7,10.0,10.0,9.2,30,3.7
Digital Marketing - Lab,3,5,60,Practical,3,8.6,10.0,9.2,8.7,25,7.8
Cultural Studies - Applications,3,8,60,Video,3,7.9,10.0,10.0,8.8,15,1.5
Philosophy of Mind - Lab,9,7,129,Practical,10,6.3,10.0,9.8,9.0,26,4.3
Visual Perception - Advanced,8,7,114,Text,7,6.9,10.0,9.8,9.1,13,11.6
Mythology - Lab,3,7,63,Text,6,7.9,10.0,9.8,8.2,22,16.1
Holographic Computing - Applications,6,9,92,Video,4,8.7,10.0,9.6,8.5,20,19.3
Cognitive Robotics - Lab,9,8,130,Practical,5,8.4,10.0,10.0,9.3,15,1.3
Urban Planning - Concepts,6,5,88,Video,4,8.7,10.0,10.0,8.7,13,18.2
UX Design - Lab,8,8,103,Video,5,7.7,10.0,10.0,9.0,27,3.4
Creative Writing - Advanced,9,6,128,Audio,1,9.0,10.0,10.0,8.7,19,17.4
Psychoacoustics - Intro,7,7,97,Text,8,7.2,10.0,9.6,9.1,20,6.8
Fictional Languages - Workshop,5,6,82,Audio,6,6.7,10.0,9.7,8.6,7,15.4
Marine Biology - Intro,7,8,102,Text,5,8.3,10.0,10.0,9.2,19,11.1
Forensic Science - Workshop,3,5,56,Video,4,7.9,10.0,10.0,9.0,8,1.1
Dream Analysis - Concepts,9,6,112,Audio,10,6.4,9.8,9.1,7.6,13,19.2
Photosynthesis - Lab,5,6,85,Video,3,8.7,10.0,9.9,8.8,19,13.8
Biomechanics - Theory,3,9,66,Practical,7,7.6,10.0,10.0,9.6,27,0.7
Immunology - Lab,5,8,83,Text,5,8.5,10.0,9.9,8.8,21,10.5
Creative Writing - Workshop,8,6,112,Text,5,8.1,10.0,9.9,9.3,19,6.3
Moral Philosophy - Concepts,4,8,63,Video,3,9.0,10.0,10.0,9.2,25,0.0
Quantum Entanglement - Lab,6,5,88,Practical,5,7.8,10.0,9.7,8.9,15,4.7
Visual Perception - Advanced,9,6,126,Video,9,7.3,10.0,9.9,8.8,16,12.1
Speech Recognition - Workshop,6,5,86,Practical,6,7.1,10.0,9.7,8.7,28,14.0
Holographic Computing - Theory,9,6,120,Audio,7,6.7,10.0,10.0,9.2,20,18.4
Speech Recognition - Workshop,8,7,112,Practical,6,7.9,10.0,10.0,9.1,16,5.5
Interstellar Politics - Applications,3,9,62,Practical,9,6.2,10.0,9.4,7.9,9,21.1
Antimatter - Applications,3,9,54,Video,4,8.7,10.0,9.8,8.8,23,8.3
Speech Recognition - Applications,4,9,69,Audio,5,8.2,10.0,10.0,9.5,16,5.3
Political Philosophy - Lab,7,5,104,Video,2,9.0,10.0,10.0,9.4,17,16.8
Computational Linguistics - Applications,9,8,129,Practical,10,6.9,10.0,10.0,9.3,25,11.4
Quantum Computing - Applications,5,9,78,Video,3,9.0,10.0,9.3,7.7,24,24.0
Digital Marketing - Workshop,8,6,112,Practical,8,7.6,10.0,10.0,9.3,7,2.8
Mythology - Lab,4,6,64,Audio,6,7.8,10.0,10.0,9.3,26,1.3
Antimatter - Advanced,8,7,108,Audio,6,7.7,10.0,10.0,8.9,29,15.6
Game Development - Lab,4,5,67,Text,4,8.9,10.0,10.0,8.6,25,15.7
Cognitive Robotics - Concepts,3,6,69,Practical,5,8.9,10.0,10.0,9.1,22,0.4
Bioinformatics - Workshop,3,6,63,Text,9,6.7,10.0,9.3,8.5,16,19.1
Ethical Hacking - Concepts,7,7,100,Practical,10,7.1,10.0,9.9,8.5,28,8.4
AI Narratives - Applications,9,7,110,Text,9,6.7,10.0,10.0,9.0,9,15.6
Philosophy of Mind - Concepts,9,8,121,Audio,9,6.6,10.0,9.7,8.6,20,6.2
Immunology - Advanced,8,8,111,Video,9,7.1,10.0,10.0,8.7,20,10.8
Digital Marketing - Theory,8,8,108,Audio,8,7.5,10.0,10.0,9.0,18,13.6
Speech Recognition - Workshop,4,6,70,Video,5,8.3,10.0,10.0,8.8,29,8.6
Quantum Computing - Applications,5,7,89,Audio,4,8.4,10.0,10.0,9.1,28,8.4
Evolutionary Biology - Applications,8,5,114,Text,6,7.8,10.0,9.8,9.0,10,9.5
Syntax and Semantics - Advanced,3,6,55,Practical,6,7.1,10.0,10.0,8.9,10,8.5
Lunar Architecture - Theory,6,6,99,Text,6,7.8,10.0,9.8,8.5,10,21.7
Holographic Computing - Intro,8,5,106,Practical,7,8.1,10.0,9.8,8.9,27,15.7
Fictional Languages - Concepts,7,8,108,Video,6,8.3,10.0,9.4,8.6,7,1.6
Creative Writing - Lab,4,7,66,Video,5,7.7,10.0,10.0,8.5,29,21.3
Neural Networks - Theory,3,6,59,Audio,2,9.0,10.0,9.9,8.7,22,10.1
Creative Writing - Advanced,4,7,59,Audio,7,7.7,10.0,10.0,9.0,20,19.8
Quantum Theology - Applications,8,5,112,Audio,2,9.0,10.0,10.0,9.4,15,1.7
Digital Archaeology - Theory,6,9,80,Text,8,7.6,10.0,9.8,8.7,28,9.2
Synthetic Biology - Lab,8,5,111,Practical,3,8.8,10.0,9.8,9.2,19,6.4
Interstellar Politics - Concepts,8,7,107,Audio,5,8.4,10.0,10.0,8.7,8,17.4
Ethical Hacking - Workshop,9,6,117,Video,5,7.7,10.0,9.7,8.2,19,16.1
Behavioral Neuroscience - Concepts,4,7,71,Video,7,7.6,10.0,9.3,7.9,13,21.9
Bioinformatics - Workshop,6,9,94,Text,5,9.0,10.0,10.0,8.6,20,16.2
Molecular Biology - Advanced,4,6,76,Text,4,8.3,10.0,10.0,9.2,25,5.3
Pharmacology - Applications,6,9,84,Text,6,7.5,10.0,10.0,8.7,12,22.9
Evolutionary Biology - Theory,9,8,118,Practical,7,8.0,10.0,10.0,9.1,20,7.5
Ancient Civilizations - Applications,5,5,79,Video,6,7.5,10.0,10.0,8.7,18,8.9
Compiler Design - Theory,5,8,83,Audio,6,7.3,10.0,10.0,8.9,30,10.8
Behavioral Economics - Concepts,9,7,122,Video,7,8.2,10.0,10.0,9.1,28,15.3
Quantum Computing - Advanced,9,8,115,Text,6,7.5,10.0,9.9,9.0,20,8.6
Ancient Civilizations - Applications,9,5,126,Text,5,8.0,10.0,10.0,8.9,16,12.8
Neural Networks - Concepts,9,6,122,Practical,4,8.2,10.0,10.0,9.2,27,6.2
Neural Networks - Lab,5,9,88,Text,6,8.7,10.0,10.0,9.5,22,8.9
Evolutionary Biology - Concepts,5,6,81,Text,8,6.1,10.0,9.7,8.4,21,0.6
UX Design - Intro,9,8,109,Text,8,7.4,10.0,9.8,8.9,10,13.2
Financial Markets - Concepts,5,7,75,Video,6,7.1,10.0,10.0,8.6,14,13.3
Pharmacology - Advanced,7,8,99,Practical,4,8.8,10.0,10.0,8.7,12,20.7
Bioinformatics - Applications,4,5,65,Practical,6,7.4,10.0,10.0,8.9,17,11.9
Game Development - Applications,8,5,105,Text,9,6.7,10.0,10.0,8.5,14,12.4
Neural Networks - Applications,9,7,129,Text,6,7.6,10.0,9.6,8.7,18,16.5
Neural Networks - Applications,5,6,73,Practical,3,8.7,10.0,9.5,8.2,22,18.4
Speech Recognition - Intro,7,5,97,Video,8,6.6,10.0,9.8,8.8,10,11.5
Blockchain Security - Workshop,9,5,120,Practical,7,7.9,10.0,9.3,8.9,16,16.3
Speech Recognition - Theory,7,7,93,Text,10,6.2,10.0,10.0,9.1,8,11.7
Synthetic Biology - Workshop,4,6,69,Video,7,7.2,10.0,9.8,9.0,29,10.2
Financial Markets - Theory,4,8,58,Text,2,8.4,10.0,10.0,9.2,22,17.1
Marine Biology - Intro,6,9,87,Practical,10,7.0,10.0,9.5,8.8,30,6.4
Financial Markets - Intro,6,7,84,Text,6,7.6,10.0,9.7,9.3,10,7.7
Molecular Biology - Workshop,5,6,78,Video,5,8.8,10.0,10.0,8.9,24,15.9
Digital Marketing - Concepts,3,9,59,Video,6,6.2,10.0,9.5,8.7,19,0.0
Mathematical Music Theory - Intro,6,7,96,Video,6,8.1,10.0,10.0,9.0,25,0.0
Agile Methodologies - Theory,3,8,56,Text,2,8.3,10.0,10.0,8.8,19,6.0
Visual Perception - Advanced,8,8,120,Text,10,6.1,10.0,9.3,8.3,25,24.3
Bioinformatics - Advanced,6,6,91,Practical,4,8.3,10.0,10.0,8.8,15,18.0
Digital Marketing - Applications,8,6,105,Video,6,8.0,10.0,10.0,8.9,30,16.2
Evolutionary Biology - Advanced,7,8,100,Video,8,8.5,10.0,9.9,9.0,10,13.9
Marine Biology - Intro,7,8,106,Practical,10,6.1,10.0,10.0,8.9,10,12.3
Digital Archaeology - Applications,8,7,104,Practical,7,7.1,10.0,9.7,8.5,7,21.0
Agile Methodologies - Applications,7,6,109,Audio,6,7.4,10.0,10.0,9.1,7,8.0
Internet of Things - Lab,8,9,112,Audio,10,6.3,10.0,8.8,7.6,21,20.8
Marine Biology - Concepts,3,8,54,Practical,6,8.2,10.0,10.0,8.7,18,22.3
Lunar Architecture - Theory,5,9,77,Text,7,7.4,10.0,10.0,9.1,17,8.4
Nanorobotics - Theory,8,6,107,Audio,1,9.0,10.0,10.0,8.8,15,15.0
Interstellar Politics - Concepts,6,6,95,Text,5,8.7,10.0,10.0,9.1,19,16.5
Digital Archaeology - Theory,6,5,84,Text,5,8.4,10.0,9.7,8.5,23,13.3
Quantum Theology - Theory,3,8,67,Text,5,7.8,10.0,9.8,9.1,24,12.7
Astrophysics - Advanced,8,6,115,Audio,8,6.2,10.0,10.0,8.9,29,8.6
Cognitive Robotics - Lab,7,6,108,Practical,4,8.3,10.0,10.0,8.9,19,11.9
Cognitive Robotics - Intro,5,8,80,Audio,4,7.9,10.0,9.4,8.2,8,26.0
Zero-Gravity Engineering - Advanced,6,5,96,Video,7,7.4,10.0,10.0,9.0,10,11.4
Fictional Languages - Workshop,5,5,78,Video,7,7.2,10.0,10.0,9.1,16,10.3
Moral Philosophy - Intro,5,5,85,Audio,2,8.7,10.0,10.0,9.3,24,4.3
Behavioral Neuroscience - Intro,4,5,70,Audio,5,8.0,10.0,9.9,9.0,20,16.4
Educational Psychology - Intro,5,7,89,Video,5,7.1,10.0,10.0,9.2,22,16.4
Remote Sensing - Lab,8,8,111,Text,6,7.4,10.0,10.0,8.7,25,15.0
Psychoacoustics - Lab,9,8,115,Audio,6,8.3,9.6,9.4,8.2,28,15.4
Quantum Theology - Theory,4,8,77,Text,4,8.8,10.0,9.3,8.9,29,5.7
Geospatial Analysis - Advanced,9,5,121,Video,5,8.0,10.0,10.0,8.5,8,11.5
Digital Archaeology - Workshop,3,5,57,Practical,7,6.6,10.0,10.0,8.8,15,7.2
Climate Modeling - Concepts,7,6,97,Text,7,7.3,10.0,10.0,9.1,8,12.5
Extraterrestrial Agriculture - Workshop,4,7,65,Text,6,7.4,10.0,10.0,8.8,26,2.0
Political Philosophy - Theory,9,8,112,Practical,6,7.8,10.0,10.0,9.3,27,6.9
Cellular Automata - Advanced,5,7,77,Practical,8,7.2,10.0,9.7,9.0,14,8.1
Digital Humanities - Lab,7,8,101,Video,10,6.7,10.0,10.0,9.4,26,11.9
Behavioral Neuroscience - Applications,5,5,78,Text,5,7.3,10.0,10.0,9.0,23,12.5
Quantum Theology - Workshop,5,5,61,Video,5,7.1,10.0,9.6,8.3,18,12.7
Digital Humanities - Workshop,4,8,62,Video,6,7.5,10.0,10.0,8.9,13,10.0
Evolutionary Biology - Theory,3,9,64,Practical,7,6.9,10.0,10.0,9.0,15,14.2
Internet of Things - Applications,9,5,119,Text,4,8.4,10.0,9.4,8.4,19,15.9
Relativity Theory - Intro,5,6,71,Audio,3,8.6,10.0,10.0,8.4,22,4.0
Ethical Hacking - Workshop,8,5,108,Practical,4,7.7,10.0,10.0,8.6,27,13.4
Remote Sensing - Advanced,4,6,70,Video,4,8.4,10.0,10.0,9.2,21,0.0
Photosynthesis - Intro,8,7,114,Text,8,7.4,10.0,10.0,9.4,8,5.0
Immunology - Applications,8,5,106,Practical,8,7.9,10.0,10.0,9.0,21,16.9
Digital Humanities - Concepts,9,5,123,Audio,8,6.5,10.0,10.0,9.1,18,10.1
Urban Planning - Lab,5,7,79,Text,2,8.8,10.0,10.0,8.7,18,13.3
Holographic Computing - Applications,9,6,118,Video,10,6.2,10.0,9.5,8.7,17,8.5
Synthetic Biology - Applications,8,9,114,Practical,10,7.4,10.0,9.4,8.0,15,19.5
Behavioral Economics - Concepts,9,6,115,Text,10,5.6,10.0,10.0,8.9,9,8.3
Compiler Design - Workshop,7,8,104,Text,6,8.1,10.0,9.0,8.2,8,21.8
Immunology - Concepts,3,8,54,Text,4,8.1,10.0,9.8,9.2,26,6.6
Digital Archaeology - Theory,5,8,77,Practical,3,8.1,10.0,9.4,8.4,10,17.9
Sustainable Agriculture - Concepts,8,7,108,Text,8,7.0,10.0,10.0,9.2,22,7.4
Marine Biology - Advanced,3,6,59,Video,5,8.1,10.0,10.0,8.7,21,13.4
Psychoacoustics - Intro,9,5,107,Text,6,6.8,10.0,9.6,8.7,21,11.2
Behavioral Neuroscience - Lab,3,8,60,Practical,3,8.5,10.0,10.0,9.9,17,0.0
Quantum Theology - Workshop,7,6,90,Text,6,7.5,10.0,9.9,8.9,16,10.9
Astrophysics - Advanced,7,5,100,Audio,5,7.2,10.0,10.0,9.5,11,2.0
Evolutionary Biology - Concepts,6,6,91,Text,6,8.1,10.0,10.0,9.3,23,14.1
Fictional Languages - Concepts,3,7,64,Practical,8,6.6,10.0,9.5,8.9,21,2.3
Educational Psychology - Applications,5,8,73,Practical,7,8.0,10.0,10.0,9.1,16,13.2
Agile Methodologies - Workshop,7,9,101,Text,8,6.8,10.0,10.0,9.5,21,13.3
Digital Marketing - Concepts,5,8,79,Text,6,6.6,10.0,9.9,9.3,17,4.9
Zero-Gravity Engineering - Concepts,3,8,57,Video,3,9.0,10.0,9.6,8.2,23,16.9
Financial Markets - Intro,7,7,94,Video,6,7.1,10.0,10.0,9.0,18,5.5
Internet of Things - Concepts,6,5,90,Practical,6,7.4,10.0,10.0,9.1,16,14.5
Neural Networks - Intro,3,8,66,Text,7,7.0,10.0,10.0,9.2,22,12.1
Sustainable Agriculture - Workshop,5,5,78,Audio,6,7.4,10.0,9.5,8.8,29,6.6
Artificial Consciousness - Lab,6,5,96,Text,4,8.4,10.0,10.0,8.4,17,9.0
Urban Planning - Applications,3,7,65,Video,7,8.0,10.0,10.0,9.1,11,7.6
Psychoacoustics - Applications,7,8,89,Text,3,7.6,10.0,10.0,9.6,20,7.4
Creative Writing - Advanced,8,7,105,Video,8,7.0,10.0,9.9,9.2,16,11.0
Antimatter - Advanced,3,7,57,Text,3,9.0,10.0,10.0,8.7,28,12.9
Synthetic Biology - Applications,4,9,76,Video,9,6.8,10.0,9.1,7.7,29,24.7
Digital Humanities - Applications,5,7,79,Text,7,7.5,10.0,10.0,9.6,23,4.1
