subject_/topic,complexity_1-10,relevance_1-10,study_time_mins,learning_method,stress_level,sleep_hours,recall_score_1hr,recall_score_1day,recall_score_1week,days_since_learning,forgetfulness_probability_%,memory_strength,predicted_retention_%
Mythology - Advanced,5,8,85,Video,9,6.4,10.0,9.7,8.9,16,9.1,5.0,4.08
Metallurgy - Theory,5,9,82,Text,5,9.0,10.0,10.0,8.3,27,19.0,5.0,0.45
Syntax and Semantics - Theory,7,5,98,Practical,5,8.4,10.0,10.0,9.6,19,1.9,5.0,2.24
Syntax and Semantics - Applications,9,5,116,Video,5,8.6,10.0,10.0,9.5,17,12.4,5.0,3.34
Metallurgy - Lab,8,8,107,Audio,6,8.0,10.0,9.7,8.8,27,11.2,5.0,0.45
Ethical Hacking - Workshop,7,8,98,Text,9,6.8,10.0,9.6,8.5,20,20.6,5.0,1.83
Educational Psychology - Applications,3,6,59,Video,1,9.0,10.0,10.0,8.3,11,21.5,5.0,11.08
Virtual Reality Ethics - Concepts,9,9,116,Video,9,6.3,10.0,10.0,8.9,24,9.3,5.0,0.82
Zero-Gravity Engineering - Concepts,5,8,80,Practical,6,8.7,10.0,10.0,8.9,22,7.5,5.0,1.23
Logic Circuits - Lab,3,6,56,Text,6,7.7,10.0,10.0,8.7,12,10.8,5.0,9.07
Relativity Theory - Theory,7,7,100,Practical,7,7.0,10.0,9.1,8.1,18,17.4,5.0,2.73
Metallurgy - Advanced,6,5,99,Video,8,6.4,10.0,9.9,9.0,19,17.0,5.0,2.24
Molecular Biology - Concepts,7,9,104,Video,8,8.0,10.0,10.0,9.2,8,13.0,5.0,20.19
Ancient Civilizations - Advanced,5,7,79,Practical,7,7.9,10.0,9.2,8.2,23,20.0,5.0,1.01
Artificial Consciousness - Advanced,3,9,54,Text,6,8.0,10.0,9.7,8.3,26,14.3,5.0,0.55
Forensic Science - Advanced,8,9,110,Practical,8,6.2,10.0,9.5,8.6,26,9.8,5.0,0.55
Forensic Science - Applications,8,8,118,Practical,10,6.7,10.0,9.2,8.2,27,10.7,5.0,0.45
Photosynthesis - Advanced,5,6,74,Video,5,7.9,10.0,9.7,8.8,10,10.3,5.0,13.53
Educational Psychology - Workshop,7,9,89,Video,8,6.8,10.0,10.0,9.0,7,7.1,5.0,24.66
Pharmacology - Lab,7,7,101,Text,5,8.7,10.0,10.0,8.9,24,17.3,5.0,0.82
Ethical Hacking - Applications,4,9,77,Video,6,7.0,10.0,9.9,9.2,18,10.5,5.0,2.73
Philosophy of Mind - Applications,7,6,106,Video,1,8.5,10.0,10.0,8.8,12,11.8,5.0,9.07
Philosophy of Mind - Theory,5,5,88,Practical,4,7.5,10.0,10.0,8.9,17,15.1,5.0,3.34
Bioinformatics - Applications,9,9,113,Video,9,6.3,10.0,10.0,8.8,15,18.4,5.0,4.98
Nanorobotics - Applications,9,7,118,Video,7,6.7,10.0,10.0,8.8,14,11.2,5.0,6.08
Alien Anthropology - Workshop,3,5,61,Audio,3,9.0,10.0,10.0,9.2,29,7.1,5.0,0.3
Financial Markets - Concepts,3,5,48,Audio,5,7.5,10.0,10.0,9.1,29,2.1,5.0,0.3
Virtual Reality Ethics - Lab,4,8,69,Text,9,6.9,10.0,10.0,9.4,23,13.0,5.0,1.01
Synthetic Biology - Concepts,8,8,107,Text,7,7.1,10.0,10.0,9.2,11,12.8,5.0,11.08
Visual Perception - Advanced,5,9,78,Text,8,7.6,10.0,9.7,8.8,10,9.2,5.0,13.53
Photosynthesis - Workshop,7,7,101,Text,6,8.1,10.0,9.7,8.2,11,22.8,5.0,11.08
Nanorobotics - Advanced,6,8,88,Video,8,7.1,10.0,9.8,8.6,21,2.2,5.0,1.5
Behavioral Neuroscience - Intro,3,6,54,Audio,8,7.9,10.0,9.5,8.9,12,8.6,5.0,9.07
Phonetics - Workshop,5,6,83,Text,7,7.1,10.0,10.0,9.4,28,6.3,5.0,0.37
Logic Circuits - Theory,9,5,114,Practical,9,6.6,10.0,10.0,8.3,11,18.5,5.0,11.08
Logic Circuits - Concepts,4,5,69,Video,3,8.7,10.0,10.0,8.9,19,15.6,5.0,2.24
Speech Recognition - Theory,6,5,85,Audio,5,8.3,10.0,9.8,9.3,25,2.7,5.0,0.67
Antimatter - Workshop,8,6,113,Video,4,7.3,10.0,9.8,9.0,9,12.8,5.0,16.53
Cultural Studies - Lab,5,8,72,Text,5,8.6,10.0,9.6,9.1,14,13.0,5.0,6.08
Quantum Entanglement - Applications,7,8,99,Video,7,7.1,10.0,9.7,8.7,20,11.8,5.0,1.83
Behavioral Economics - Workshop,8,9,111,Video,7,7.7,10.0,9.1,8.1,21,16.7,5.0,1.5
Psychoacoustics - Intro,9,7,121,Audio,8,6.7,10.0,9.5,8.1,14,12.9,5.0,6.08
Behavioral Economics - Intro,3,6,65,Practical,3,9.0,10.0,10.0,9.4,14,3.0,5.0,6.08
UX Design - Intro,9,5,124,Practical,7,7.9,10.0,9.5,8.7,19,3.0,5.0,2.24
Behavioral Economics - Concepts,7,7,102,Text,8,7.6,10.0,9.2,8.1,29,18.0,5.0,0.3
Blockchain Security - Concepts,4,5,60,Practical,5,8.2,10.0,10.0,8.8,11,12.5,5.0,11.08
Quantum Entanglement - Lab,3,7,62,Video,5,7.9,10.0,10.0,8.7,19,11.5,5.0,2.24
Ancient Civilizations - Applications,6,7,96,Video,9,5.9,10.0,10.0,9.6,18,1.8,5.0,2.73
Behavioral Neuroscience - Theory,3,8,56,Video,1,9.0,10.0,10.0,8.9,28,10.7,5.0,0.37
Synthetic Biology - Workshop,9,9,125,Text,8,7.7,10.0,10.0,8.9,28,12.0,5.0,0.37
Biomechanics - Applications,7,9,104,Video,9,7.2,10.0,9.7,8.4,17,18.8,5.0,3.34
Moral Philosophy - Workshop,8,5,106,Practical,2,8.5,10.0,9.7,8.7,21,5.5,5.0,1.5
Artificial Consciousness - Applications,5,6,77,Text,8,8.6,10.0,9.4,8.3,21,14.7,5.0,1.5
Relativity Theory - Intro,9,9,115,Video,8,7.6,10.0,9.5,8.1,27,11.6,5.0,0.45
Fictional Languages - Theory,5,6,85,Text,4,7.9,10.0,10.0,9.0,17,7.7,5.0,3.34
Digital Marketing - Advanced,5,5,76,Text,6,7.4,10.0,10.0,9.0,29,15.2,5.0,0.3
Biomechanics - Advanced,9,6,116,Practical,5,7.5,10.0,9.5,8.5,15,16.0,5.0,4.98
Photosynthesis - Workshop,9,7,118,Video,10,6.4,10.0,9.2,8.3,23,15.0,5.0,1.01
Forensic Science - Workshop,9,7,114,Text,8,7.9,10.0,10.0,9.4,29,2.4,5.0,0.3
Speech Recognition - Concepts,4,5,72,Practical,7,7.6,10.0,9.0,8.1,26,16.6,5.0,0.55
Logic Circuits - Intro,4,6,68,Video,7,8.2,10.0,10.0,8.8,9,9.0,5.0,16.53
Quantum Theology - Intro,5,6,85,Text,5,8.8,10.0,10.0,8.8,7,13.7,5.0,24.66
Political Philosophy - Workshop,6,5,94,Audio,4,9.0,10.0,9.9,8.9,20,6.4,5.0,1.83
Creative Writing - Intro,7,9,108,Video,10,7.3,10.0,10.0,9.0,13,7.8,5.0,7.43
Agile Methodologies - Theory,6,8,82,Practical,3,8.6,10.0,10.0,9.5,30,1.7,5.0,0.25
Compiler Design - Concepts,9,9,113,Video,8,7.2,10.0,10.0,8.7,25,7.1,5.0,0.67
Cognitive Robotics - Workshop,9,8,120,Video,10,5.8,10.0,9.4,9.0,25,2.3,5.0,0.67
Pharmacology - Concepts,5,6,80,Text,2,9.0,10.0,10.0,9.4,7,5.8,5.0,24.66
Forensic Science - Intro,7,8,98,Practical,5,8.1,10.0,10.0,9.0,27,3.5,5.0,0.45
Biomechanics - Intro,4,8,78,Text,5,9.0,10.0,9.8,8.6,14,13.5,5.0,6.08
Quantum Theology - Intro,3,6,57,Practical,5,7.8,10.0,10.0,8.6,29,18.8,5.0,0.3
Ethical Hacking - Intro,3,7,62,Text,1,8.7,10.0,9.9,8.6,29,13.6,5.0,0.3
Pharmacology - Workshop,7,8,101,Practical,9,6.1,10.0,10.0,8.8,26,10.7,5.0,0.55
Remote Sensing - Advanced,6,5,86,Practical,5,8.7,10.0,10.0,8.9,23,3.1,5.0,1.01
Evolutionary Biology - Theory,7,9,102,Video,9,6.9,10.0,9.8,9.6,13,0.5,5.0,7.43
Immunology - Advanced,6,6,89,Video,4,8.1,10.0,10.0,8.9,9,6.3,5.0,16.53
Epidemiology - Lab,9,6,126,Audio,6,7.8,10.0,10.0,8.7,22,9.8,5.0,1.23
Dream Analysis - Lab,8,8,115,Video,8,6.5,10.0,10.0,9.5,11,5.2,5.0,11.08
Psychoacoustics - Lab,6,7,77,Audio,6,7.0,9.2,9.8,8.7,15,16.0,4.085714285714285,2.54
Computational Linguistics - Workshop,3,7,52,Video,6,8.6,10.0,10.0,9.5,9,0.0,5.0,16.53
Lunar Architecture - Intro,4,9,69,Video,7,7.5,10.0,10.0,8.8,18,17.9,5.0,2.73
Philosophy of Mind - Advanced,5,9,84,Text,4,8.5,10.0,10.0,9.3,24,0.8,5.0,0.82
UX Design - Workshop,9,7,120,Text,8,7.1,10.0,9.1,7.4,18,35.4,5.0,2.73
UX Design - Concepts,4,7,72,Video,5,7.7,10.0,10.0,8.7,14,10.1,5.0,6.08
Evolutionary Biology - Applications,5,7,93,Video,6,7.4,10.0,9.0,7.9,8,22.3,5.0,20.19
Cellular Automata - Concepts,8,8,106,Practical,7,6.9,10.0,10.0,9.0,28,10.3,5.0,0.37
Mythology - Intro,3,5,62,Video,4,8.9,10.0,9.7,8.5,12,12.7,5.0,9.07
Digital Archaeology - Advanced,9,9,120,Video,10,6.7,10.0,9.7,8.5,21,19.3,5.0,1.5
Logic Circuits - Advanced,5,6,84,Audio,3,8.3,10.0,9.6,8.5,8,21.0,5.0,20.19
Blockchain Security - Workshop,8,7,114,Text,6,8.1,10.0,9.0,8.3,27,15.7,5.0,0.45
Creative Writing - Theory,9,7,122,Practical,3,8.2,10.0,10.0,8.8,17,7.3,5.0,3.34
Remote Sensing - Applications,6,5,97,Video,4,8.8,10.0,10.0,9.2,7,1.7,5.0,24.66
Creative Writing - Advanced,7,7,106,Practical,4,7.9,10.0,10.0,9.5,19,10.5,5.0,2.24
Behavioral Economics - Workshop,9,9,122,Video,10,6.6,10.0,10.0,9.0,17,3.5,5.0,3.34
Internet of Things - Advanced,9,7,119,Video,7,7.1,10.0,9.4,8.5,21,15.6,5.0,1.5
Psychoacoustics - Intro,5,5,81,Practical,4,9.0,10.0,9.6,8.5,18,17.6,5.0,2.73
Epidemiology - Lab,4,8,61,Video,7,8.1,10.0,9.4,8.5,29,11.4,5.0,0.3
Educational Psychology - Intro,3,9,57,Audio,3,9.0,10.0,10.0,9.2,24,11.1,5.0,0.82
Cellular Automata - Applications,3,8,55,Video,7,7.4,10.0,9.5,8.3,18,16.6,5.0,2.73
Creative Writing - Intro,9,6,124,Video,8,6.9,10.0,9.7,8.5,23,13.7,5.0,1.01
Syntax and Semantics - Applications,9,5,126,Video,10,6.6,10.0,10.0,9.5,26,0.0,5.0,0.55
Alien Anthropology - Workshop,8,6,113,Text,8,6.7,10.0,10.0,9.1,28,6.0,5.0,0.37
Evolutionary Biology - Intro,7,6,99,Text,2,9.0,10.0,9.4,8.3,25,13.2,5.0,0.67
Extraterrestrial Agriculture - Workshop,6,6,86,Practical,8,7.0,10.0,10.0,9.3,12,10.6,5.0,9.07
Moral Philosophy - Lab,9,6,124,Practical,10,6.5,10.0,9.3,8.2,10,19.2,5.0,13.53
Alien Anthropology - Concepts,6,5,95,Practical,5,8.1,10.0,10.0,9.0,22,5.8,5.0,1.23
Philosophy of Mind - Workshop,3,8,59,Video,5,8.8,10.0,10.0,9.1,20,0.6,5.0,1.83
3D Animation - Intro,6,7,90,Video,5,8.0,10.0,9.3,8.5,8,18.4,5.0,20.19
Financial Markets - Workshop,9,6,118,Text,4,9.0,10.0,10.0,9.1,16,13.9,5.0,4.08
Relativity Theory - Workshop,9,7,122,Practical,8,7.5,10.0,10.0,8.7,17,18.0,5.0,3.34
Quantum Entanglement - Intro,8,7,108,Video,6,8.1,10.0,10.0,8.6,27,15.5,5.0,0.45
Epidemiology - Applications,7,6,99,Video,7,7.1,10.0,9.3,8.5,16,9.9,5.0,4.08
Game Development - Concepts,3,9,54,Video,6,7.1,10.0,9.7,8.8,22,8.7,5.0,1.23
Creative Writing - Theory,6,7,91,Video,10,6.5,10.0,9.2,8.5,18,3.6,5.0,2.73
Urban Planning - Applications,5,9,88,Practical,6,7.2,10.0,9.5,8.5,14,15.6,5.0,6.08
Urban Planning - Theory,5,8,81,Audio,4,7.4,10.0,9.7,8.6,8,17.1,5.0,20.19
Psychoacoustics - Workshop,8,7,115,Practical,8,6.9,10.0,9.8,8.8,17,7.4,5.0,3.34
Phonetics - Workshop,6,5,93,Video,5,7.2,10.0,10.0,9.8,28,0.0,5.0,0.37
Relativity Theory - Concepts,5,8,79,Video,10,7.0,10.0,9.6,8.2,30,5.0,5.0,0.25
Mathematical Music Theory - Theory,7,8,99,Text,9,6.2,10.0,10.0,9.1,12,11.3,5.0,9.07
Marine Biology - Theory,4,9,67,Video,6,6.9,10.0,10.0,9.4,11,11.8,5.0,11.08
Bioinformatics - Theory,7,6,104,Practical,8,6.8,10.0,9.1,8.4,9,15.6,5.0,16.53
Astrophysics - Lab,8,5,112,Video,8,7.4,10.0,10.0,8.7,30,9.4,5.0,0.25
Fictional Languages - Concepts,7,5,105,Practical,4,8.1,10.0,10.0,8.8,18,7.6,5.0,2.73
Photosynthesis - Advanced,6,9,90,Practical,8,7.5,10.0,10.0,9.0,18,7.3,5.0,2.73
Holographic Computing - Lab,9,9,111,Text,10,6.8,10.0,10.0,9.0,8,13.8,5.0,20.19
Photosynthesis - Applications,7,8,96,Video,4,8.5,10.0,10.0,9.4,16,3.5,5.0,4.08
Agile Methodologies - Intro,6,9,95,Video,5,7.7,10.0,10.0,8.7,15,7.6,5.0,4.98
Artificial Consciousness - Intro,3,6,59,Text,4,8.5,10.0,10.0,8.7,14,23.0,5.0,6.08
Bioinformatics - Applications,6,8,95,Text,8,5.9,10.0,9.7,8.3,28,10.8,5.0,0.37
Synthetic Biology - Advanced,8,8,117,Video,8,7.0,10.0,9.5,8.4,21,10.5,5.0,1.5
Biomechanics - Workshop,6,8,94,Video,7,8.0,10.0,10.0,8.6,15,9.7,5.0,4.98
AI Narratives - Applications,3,5,64,Audio,3,8.3,10.0,10.0,9.3,12,7.6,5.0,9.07
Epidemiology - Workshop,9,5,106,Practical,7,7.6,10.0,9.5,8.5,30,13.2,5.0,0.25
Relativity Theory - Lab,4,8,68,Video,8,6.2,10.0,9.5,8.2,18,15.3,5.0,2.73
Lunar Architecture - Theory,8,6,109,Text,10,6.9,10.0,10.0,8.8,18,11.6,5.0,2.73
Cultural Studies - Applications,3,7,64,Text,7,7.2,10.0,9.6,8.1,27,13.2,5.0,0.45
Philosophy of Mind - Workshop,6,8,90,Video,9,6.6,10.0,9.8,9.0,20,11.5,5.0,1.83
Cellular Automata - Concepts,8,9,102,Practical,8,6.9,10.0,9.8,8.5,29,19.0,5.0,0.3
Computational Linguistics - Workshop,5,7,72,Practical,10,6.6,10.0,9.7,9.1,24,5.5,5.0,0.82
Artificial Consciousness - Workshop,6,5,87,Text,2,8.7,10.0,10.0,9.5,23,5.9,5.0,1.01
UX Design - Advanced,3,5,73,Text,4,8.4,10.0,10.0,8.9,14,9.7,5.0,6.08
Speech Recognition - Theory,6,7,91,Video,8,6.5,10.0,9.7,8.2,11,20.5,5.0,11.08
Mythology - Theory,9,9,122,Video,9,6.6,10.0,9.9,8.5,15,14.5,5.0,4.98
Photosynthesis - Intro,3,5,52,Practical,6,7.8,10.0,10.0,9.3,13,11.6,5.0,7.43
Quantum Entanglement - Concepts,7,5,105,Practical,5,7.9,10.0,9.6,8.6,26,25.9,5.0,0.55
Sustainable Agriculture - Workshop,4,8,68,Practical,8,7.3,10.0,10.0,9.3,11,10.3,5.0,11.08
Bioinformatics - Workshop,4,6,77,Practical,5,8.3,10.0,9.6,8.6,25,18.1,5.0,0.67
Quantum Theology - Intro,8,9,103,Video,7,7.7,10.0,10.0,8.8,27,9.4,5.0,0.45
Quantum Entanglement - Workshop,3,8,59,Text,4,8.6,10.0,10.0,9.1,16,5.7,5.0,4.08
Digital Marketing - Workshop,4,6,67,Text,5,7.0,10.0,9.9,8.8,10,12.7,5.0,13.53
Behavioral Economics - Workshop,5,5,83,Audio,3,8.0,10.0,10.0,9.2,9,2.0,5.0,16.53
Internet of Things - Concepts,8,6,114,Video,1,9.0,10.0,10.0,9.2,30,13.0,5.0,0.25
Neural Networks - Theory,5,5,76,Text,1,9.0,10.0,10.0,9.3,10,10.4,5.0,13.53
Lunar Architecture - Intro,4,8,74,Text,5,7.8,10.0,9.3,8.6,26,10.9,5.0,0.55
Dream Analysis - Applications,3,5,67,Text,3,8.9,10.0,9.7,8.2,20,20.7,5.0,1.83
Bioinformatics - Intro,8,6,114,Video,9,6.5,10.0,9.3,8.1,14,29.7,5.0,6.08
Urban Planning - Intro,5,8,77,Practical,7,7.7,10.0,10.0,9.5,27,5.8,5.0,0.45
Bioinformatics - Intro,9,6,117,Audio,7,6.9,9.5,9.1,8.0,11,23.3,4.428571428571429,8.34
Compiler Design - Theory,4,6,68,Video,3,8.8,10.0,10.0,8.9,11,12.1,5.0,11.08
Pharmacology - Applications,6,7,94,Text,10,6.4,10.0,10.0,8.4,17,17.3,5.0,3.34
3D Animation - Intro,5,5,82,Practical,5,8.4,10.0,10.0,9.4,12,5.4,5.0,9.07
Fictional Languages - Concepts,7,5,93,Video,7,8.6,10.0,9.4,8.2,11,28.3,5.0,11.08
Educational Psychology - Applications,8,6,109,Audio,7,7.4,9.0,9.5,8.5,7,4.8,3.857142857142857,16.29
Climate Modeling - Applications,5,5,88,Text,6,6.8,10.0,10.0,8.9,20,13.0,5.0,1.83
Zero-Gravity Engineering - Lab,8,9,114,Practical,5,8.1,10.0,10.0,8.8,23,10.9,5.0,1.01
Neural Networks - Applications,4,5,66,Practical,5,8.0,10.0,10.0,9.7,28,8.5,5.0,0.37
3D Animation - Concepts,4,8,62,Practical,6,6.5,10.0,10.0,8.8,8,17.3,5.0,20.19
Cognitive Robotics - Theory,8,5,107,Video,6,7.3,10.0,9.5,8.3,9,20.8,5.0,16.53
Dream Analysis - Advanced,4,9,69,Video,8,7.5,10.0,9.4,8.3,12,12.6,5.0,9.07
3D Animation - Advanced,3,6,57,Text,1,9.0,10.0,10.0,9.3,24,13.7,5.0,0.82
Evolutionary Biology - Theory,8,5,105,Text,5,8.5,10.0,10.0,9.0,28,7.9,5.0,0.37
Mathematical Music Theory - Theory,3,8,62,Text,1,9.0,10.0,10.0,8.6,18,19.9,5.0,2.73
Cognitive Robotics - Concepts,8,9,98,Text,7,7.3,10.0,10.0,9.0,12,11.6,5.0,9.07
Antimatter - Advanced,6,7,95,Text,8,6.6,10.0,10.0,8.8,8,13.1,5.0,20.19
Syntax and Semantics - Concepts,6,6,93,Practical,7,6.6,10.0,9.3,8.1,24,17.0,5.0,0.82
Artificial Consciousness - Intro,5,6,82,Video,5,8.0,10.0,10.0,8.7,29,2.6,5.0,0.3
Lunar Architecture - Applications,4,6,72,Practical,5,7.7,10.0,10.0,8.5,19,24.6,5.0,2.24
Financial Markets - Concepts,6,9,88,Video,6,7.3,10.0,10.0,9.6,22,5.9,5.0,1.23
Behavioral Neuroscience - Applications,4,5,69,Text,4,7.5,10.0,10.0,9.2,19,5.9,5.0,2.24
Immunology - Concepts,5,5,87,Video,7,7.2,10.0,9.5,8.5,23,17.5,5.0,1.01
Cognitive Robotics - Applications,3,5,59,Practical,7,7.0,10.0,10.0,8.4,30,14.0,5.0,0.25
Fictional Languages - Intro,6,5,91,Video,6,7.3,10.0,10.0,8.7,10,8.6,5.0,13.53
Biomechanics - Applications,7,6,102,Text,6,8.6,10.0,9.9,8.7,12,9.7,5.0,9.07
Computational Linguistics - Workshop,7,7,100,Text,10,6.5,10.0,9.5,8.3,20,14.6,5.0,1.83
Moral Philosophy - Applications,7,6,98,Audio,7,7.3,9.5,9.5,8.8,25,9.2,4.428571428571429,0.35
Ethical Hacking - Concepts,9,7,111,Video,7,7.8,10.0,10.0,8.8,19,12.9,5.0,2.24
Zero-Gravity Engineering - Intro,7,7,104,Video,6,7.5,10.0,10.0,9.5,17,10.9,5.0,3.34
Synthetic Biology - Theory,7,5,105,Video,5,8.2,10.0,10.0,9.0,21,11.8,5.0,1.5
Quantum Theology - Concepts,7,8,100,Audio,8,7.4,10.0,9.6,8.5,22,14.2,5.0,1.23
Holographic Computing - Workshop,7,9,106,Text,8,6.6,10.0,9.9,8.6,7,2.7,5.0,24.66
Evolutionary Biology - Advanced,6,8,91,Audio,7,7.3,10.0,9.4,8.8,23,14.2,5.0,1.01
Philosophy of Mind - Intro,7,7,90,Video,5,7.3,10.0,9.7,8.8,22,8.4,5.0,1.23
Agile Methodologies - Advanced,8,8,104,Practical,10,5.9,10.0,10.0,9.4,11,7.2,5.0,11.08
Climate Modeling - Applications,8,7,107,Audio,7,7.0,10.0,9.8,8.4,22,18.1,5.0,1.23
Speech Recognition - Applications,7,6,96,Audio,8,7.3,10.0,10.0,8.5,20,13.3,5.0,1.83
Synthetic Biology - Theory,9,6,120,Text,5,7.5,10.0,10.0,8.7,10,8.8,5.0,13.53
Philosophy of Mind - Intro,5,5,75,Video,6,7.8,10.0,10.0,9.4,17,7.6,5.0,3.34
Metallurgy - Intro,6,9,98,Practical,6,7.6,10.0,10.0,9.0,30,4.0,5.0,0.25
Metallurgy - Advanced,8,6,99,Audio,8,7.0,10.0,10.0,8.8,9,23.4,5.0,16.53
Lunar Architecture - Advanced,5,9,79,Practical,5,8.4,10.0,9.8,8.7,25,13.2,5.0,0.67
Behavioral Economics - Applications,4,5,66,Video,2,9.0,10.0,10.0,8.8,8,14.8,5.0,20.19
Nanorobotics - Lab,7,9,93,Video,6,6.9,10.0,9.2,8.1,27,18.4,5.0,0.45
Artificial Consciousness - Workshop,3,6,62,Video,1,9.0,10.0,10.0,8.9,19,6.9,5.0,2.24
Nanorobotics - Theory,9,6,114,Video,6,8.7,10.0,10.0,9.3,19,16.7,5.0,2.24
Virtual Reality Ethics - Lab,9,8,120,Text,10,7.0,10.0,9.7,8.4,15,10.1,5.0,4.98
Pharmacology - Advanced,9,8,115,Video,6,8.0,10.0,9.2,8.7,13,12.9,5.0,7.43
Bioinformatics - Applications,7,8,90,Text,6,6.8,10.0,10.0,8.7,30,11.7,5.0,0.25
Creative Writing - Intro,7,9,98,Practical,8,7.7,10.0,10.0,9.7,18,0.9,5.0,2.73
Digital Humanities - Concepts,5,6,81,Audio,1,9.0,10.0,10.0,8.6,29,10.4,5.0,0.3
Lunar Architecture - Theory,9,5,117,Video,8,7.4,10.0,10.0,9.0,27,8.1,5.0,0.45
Computational Linguistics - Intro,9,7,126,Audio,7,7.9,10.0,10.0,9.1,22,11.5,5.0,1.23
Syntax and Semantics - Theory,9,6,121,Audio,8,7.6,10.0,10.0,8.6,24,15.1,5.0,0.82
Marine Biology - Intro,4,8,73,Audio,5,8.3,10.0,9.7,8.5,30,16.8,5.0,0.25
Relativity Theory - Theory,5,8,76,Text,5,8.4,10.0,10.0,9.1,22,7.3,5.0,1.23
Philosophy of Mind - Workshop,6,9,86,Practical,9,6.0,10.0,9.4,7.9,11,25.1,5.0,11.08
Internet of Things - Theory,9,8,118,Audio,8,8.3,10.0,10.0,9.0,30,2.2,5.0,0.25
Psychoacoustics - Lab,4,9,68,Audio,7,7.9,10.0,10.0,9.0,27,9.1,5.0,0.45
Relativity Theory - Lab,8,5,107,Video,8,7.6,10.0,9.2,8.1,18,17.6,5.0,2.73
Mythology - Intro,4,8,64,Text,3,8.8,10.0,10.0,8.9,7,9.6,5.0,24.66
Epidemiology - Advanced,4,9,73,Practical,5,7.0,10.0,10.0,9.0,16,8.6,5.0,4.08
Remote Sensing - Lab,5,8,72,Practical,4,7.1,10.0,10.0,8.7,15,12.1,5.0,4.98
Nanorobotics - Workshop,7,9,103,Practical,7,7.7,10.0,9.6,8.7,27,16.0,5.0,0.45
Biomechanics - Workshop,7,6,104,Practical,6,7.7,10.0,9.4,8.1,24,16.6,5.0,0.82
Quantum Theology - Theory,7,9,98,Text,6,8.1,10.0,10.0,9.3,10,4.7,5.0,13.53
UX Design - Concepts,7,7,112,Text,5,7.8,10.0,10.0,9.0,7,16.0,5.0,24.66
Digital Marketing - Concepts,7,5,100,Practical,5,7.8,10.0,10.0,8.9,26,15.7,5.0,0.55
Fictional Languages - Theory,6,6,88,Text,7,7.3,10.0,10.0,9.2,19,8.2,5.0,2.24
Evolutionary Biology - Applications,3,5,58,Text,2,8.7,10.0,10.0,9.1,11,9.9,5.0,11.08
Lunar Architecture - Lab,8,6,115,Practical,7,6.9,10.0,10.0,8.8,24,4.4,5.0,0.82
Behavioral Economics - Concepts,4,8,68,Video,5,7.4,10.0,10.0,9.3,12,5.9,5.0,9.07
Cultural Studies - Workshop,3,9,63,Video,5,8.2,10.0,9.4,8.2,26,21.1,5.0,0.55
Mythology - Intro,6,8,83,Video,5,8.3,10.0,10.0,8.8,11,15.0,5.0,11.08
Political Philosophy - Concepts,9,5,120,Practical,2,7.4,10.0,9.9,8.9,18,5.5,5.0,2.73
Cultural Studies - Applications,9,5,124,Practical,5,7.9,10.0,10.0,9.1,18,2.1,5.0,2.73
Evolutionary Biology - Theory,7,6,99,Audio,6,7.6,10.0,10.0,9.3,19,10.4,5.0,2.24
Epidemiology - Advanced,9,5,116,Practical,7,7.6,10.0,9.6,8.1,11,24.2,5.0,11.08
Speech Recognition - Workshop,6,9,88,Video,8,7.3,10.0,9.8,8.9,26,14.7,5.0,0.55
Digital Archaeology - Theory,8,5,102,Text,3,8.9,10.0,10.0,9.4,23,16.0,5.0,1.01
Quantum Theology - Concepts,8,8,114,Video,8,6.9,10.0,9.3,8.7,27,19.8,5.0,0.45
Digital Humanities - Concepts,6,9,96,Text,6,7.3,10.0,10.0,8.9,10,7.3,5.0,13.53
Lunar Architecture - Theory,9,5,119,Text,5,7.1,10.0,10.0,9.2,28,14.7,5.0,0.37
Photosynthesis - Workshop,3,7,67,Video,6,7.6,10.0,10.0,9.4,13,2.0,5.0,7.43
Bioinformatics - Theory,4,7,73,Video,7,6.6,10.0,10.0,9.3,10,8.9,5.0,13.53
Cellular Automata - Lab,5,8,80,Video,8,6.7,10.0,9.9,8.6,20,7.6,5.0,1.83
Psychoacoustics - Advanced,5,6,86,Text,6,7.0,10.0,9.9,8.6,21,19.3,5.0,1.5
Financial Markets - Lab,8,6,113,Video,6,8.4,10.0,10.0,9.4,25,3.7,5.0,0.67
UX Design - Concepts,4,5,75,Video,1,8.6,10.0,10.0,9.7,23,14.6,5.0,1.01
Metallurgy - Applications,7,9,106,Video,10,6.1,10.0,9.7,8.2,24,19.8,5.0,0.82
Marine Biology - Concepts,6,6,88,Text,6,8.0,10.0,9.6,9.0,7,10.0,5.0,24.66
Marine Biology - Theory,9,7,123,Video,6,8.3,10.0,10.0,9.2,15,3.7,5.0,4.98
Mythology - Intro,7,6,90,Video,6,7.3,10.0,10.0,9.0,22,12.4,5.0,1.23
Quantum Entanglement - Intro,8,7,104,Text,4,9.0,10.0,9.8,9.3,26,8.9,5.0,0.55
Mathematical Music Theory - Concepts,6,6,92,Video,8,7.0,10.0,10.0,8.9,29,8.0,5.0,0.3
Relativity Theory - Theory,5,8,81,Practical,5,8.6,10.0,9.8,9.2,12,16.1,5.0,9.07
Quantum Computing - Advanced,8,9,105,Text,6,7.7,10.0,10.0,9.2,23,4.7,5.0,1.01
